school_name,qs_wur_2026_rank,qs_wur_2026_numeric,qs_rank_in_dataset,qs_other_qs_note,qs_source_url,program_name,year,employment_6m,employment_2yr,admission_overall_average,admit_share_80_plus,admit_share_85_plus,international_share,male_female_ratio,domestic_total_cost,international_total_cost,faculty_total_fte_est,total_funding,has_employment_target,has_any_admission_feature,has_any_school_level_feature
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Nursing,2020,97.62,100,92,99.9,99.9,0.096124745,0.121311475,20617.51,42413.71,589,7855346.85,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Nursing,2021,94.44,100,91.4,99.9,96.9,0.091523179,0.1220159151193634,21684.18,44874.63,589,13492011.94,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Arts & Science,2014,91.67,94.87,85.8,0,0,0.056766483,1.1070813594232751,20617.51,41152.23,589,4777028,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Arts & Science,2015,93.44,96.83,85.8,0,0,0.06046191,1.1513448300333546,20617.51,41152.23,589,5279593.67,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Arts & Science,2016,98.28,100,85.8,0,0,0.060055961,1.2703125,18915.19,34631.44,589,5466770.38,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Arts & Science,2017,100,100,85.8,0,0,0.064087641,1.0851150363849105,19460,39349,589,6779653.62,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Arts & Science,2018,91.67,78.57,85.8,0,0,0.073537378,1.3305897642180828,20617.51,41152.23,589,6170474,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Arts & Science,2019,97.37,95.12,85.8,0,0,0.087959343,1.277385734447943,20683.93,41152.23,589,7190892,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Arts & Science,2020,100,100,85.8,0,0,0.096124745,1.136240334247942,20617.51,42413.71,589,7855346.85,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Arts & Science,2021,93.88,100,85.8,0,0,0.091523179,0.9503345023443752,21684.18,44874.63,589,13492011.94,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Health Professions,2014,65,95.24,83.5,0,0,0.056766483,0.5371459912245712,20617.51,41152.23,589,4777028,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Health Professions,2015,90.32,97.44,83.5,0,0,0.06046191,0.4497098646034816,20617.51,41152.23,589,5279593.67,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Health Professions,2016,82.93,95.83,83.5,0,0,0.060055961,0.3656662951759274,18915.19,34631.44,589,5466770.38,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Health Professions,2017,80.95,97.44,83.2,72.6,39.7,0.064087641,0.4044,19460,39349,589,6779653.62,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Health Professions,2018,91.49,86.36,83.5,71,46.6,0.073537378,0.4243415926445379,20617.51,41152.23,589,6170474,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Health Professions,2019,91.49,88.89,83.4,68.80000000000001,45.2,0.087959343,0.4189155422288855,20683.93,41152.23,589,7190892,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Health Professions,2020,90.91,92.19,85.9,81.89999999999999,60.7,0.096124745,0.3606325375338419,20617.51,42413.71,589,7855346.85,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Other Health Professions,2021,79.03,90.63,87.5,84.2,69.2,0.091523179,0.3770292207792207,21684.18,44874.63,589,13492011.94,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Physical Science,2014,33.33,100,80.8,55.4,28.1,0.056766483,1.8891625615763543,19460,39349,589,4777028,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Physical Science,2015,85.71,100,79.6,47,23.2,0.06046191,2,19460,39349,589,5279593.67,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Physical Science,2016,55.56,100,80.7,50.6,28.7,0.060055961,2.1875,18915.19,34631.44,589,5466770.38,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Physical Science,2017,81.82,91.67,79.7,47.2,22.450000000000003,0.064087641,2.235562310030395,19460,39349,589,6779653.62,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Physical Science,2018,87.5,100,80.15,43.75,31.75,0.073537378,1.7,19460,39349,589,6170474,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Physical Science,2021,100,100,80.85,52.5,35,0.091523179,1.9282945736434107,21684.18,44874.63,589,13492011.94,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Social Science,2014,95.07,96.88,79.3,0,0,0.056766483,0.4844165365312861,20617.51,41152.23,589,4777028,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Social Science,2015,92.78,97.75,79.3,0,0,0.06046191,0.5911982391640866,20617.51,41152.23,589,5279593.67,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Social Science,2016,92.9,95.71,79.3,0,0,0.060055961,0.6172327854162583,18915.19,34631.44,589,5466770.38,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Social Science,2017,96.57,95.81,78.5,40.900000000000006,20.3,0.064087641,0.5472768369690011,19460,39349,589,6779653.62,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Social Science,2018,89.3,92.04,78.5,42.4,17.9,0.073537378,0.4944187894135756,20617.51,41152.23,589,6170474,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Social Science,2019,92.14,95.21,79.3,47.1,24.200000000000003,0.087959343,0.5063616907437132,20683.93,41152.23,589,7190892,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Social Science,2020,90.32,95.57,81.9,63.7,36.9,0.096124745,0.5353211058635785,20617.51,42413.71,589,7855346.85,TRUE,TRUE,TRUE
